pano_id,lat,lon,date,source,parent_id,is_historical,best_score,good_matches,inliers,inlier_ratio,coverage,yaw,pitch,target_crop,pano_path,view_path,error
E-Zrda2n8G678hqta15SKw,19.47589200088615,-99.11318413741255,,,,False,190.79468085106384,47,14,0.2978723404255319,0.7989624738693237,315,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_E-Zrda2n8G678hqta15SKw.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/E-Zrda2n8G678hqta15SKw.jpg,
13IOfw4frM7hfCqLYhnYLw,19.47068699678969,-99.12039061959679,,,,False,190.13333333333335,42,14,0.3333333333333333,0.8111352920532227,135,-4,street_depth,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_13IOfw4frM7hfCqLYhnYLw.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/13IOfw4frM7hfCqLYhnYLw.jpg,
I3cCVfWYl0bWRyau1aeE5Q,19.47755247867298,-99.11462281542939,,,,False,189.67568010641978,26,15,0.5769230769230769,0.1444457471370697,315,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_I3cCVfWYl0bWRyau1aeE5Q.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/I3cCVfWYl0bWRyau1aeE5Q.jpg,
GSS353ryK9aQXxmGiLsA9g,19.47863768828014,-99.1217903373516,,,,False,189.01060606060605,33,14,0.42424242424242425,0.5364278554916382,45,-4,full,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_GSS353ryK9aQXxmGiLsA9g.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/GSS353ryK9aQXxmGiLsA9g.jpg,
xbL1K71Um18DFIhugklyMw,19.47772786127022,-99.11843423030889,,,,False,189.01060606060605,33,14,0.42424242424242425,0.7169216871261597,180,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_xbL1K71Um18DFIhugklyMw.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/xbL1K71Um18DFIhugklyMw.jpg,
Ll8G0A4JHoMoM4ml9LJ1qg,19.47083075687715,-99.11465337558873,,,,False,189.01060606060605,33,14,0.42424242424242425,0.6118035912513733,270,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_Ll8G0A4JHoMoM4ml9LJ1qg.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/Ll8G0A4JHoMoM4ml9LJ1qg.jpg,
l6wO4P0tEwRIK9jcpiD6mg,19.47351938953799,-99.11367604722848,,,,False,188.89375,32,14,0.4375,0.6696900725364685,135,-4,street_depth,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_l6wO4P0tEwRIK9jcpiD6mg.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/l6wO4P0tEwRIK9jcpiD6mg.jpg,
x1TrhO3sk4YHfGCZElb4lw,19.47825478812184,-99.11965493122867,,,,False,188.66666666666666,30,14,0.4666666666666667,0.5932665467262268,0,-4,upper_full,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_x1TrhO3sk4YHfGCZElb4lw.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/x1TrhO3sk4YHfGCZElb4lw.jpg,
W5niqA9APFfJQYLVlddPbw,19.47301920091797,-99.12267886142779,,,,False,188.55689655172412,29,14,0.4827586206896552,0.501222550868988,0,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_W5niqA9APFfJQYLVlddPbw.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/W5niqA9APFfJQYLVlddPbw.jpg,
rAUpr5FHEY7VIaXF54bsNQ,19.47366287410158,-99.12387733767467,,,,False,188.45,28,14,0.5,0.7491782307624817,0,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_rAUpr5FHEY7VIaXF54bsNQ.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/rAUpr5FHEY7VIaXF54bsNQ.jpg,
