pano_id,lat,lon,date,source,parent_id,is_historical,best_score,good_matches,inliers,inlier_ratio,coverage,yaw,pitch,target_crop,pano_path,view_path,error
W5niqA9APFfJQYLVlddPbw,19.47301920091797,-99.12267886142779,,,,False,954.5263157894736,95,77,0.8105263157894737,0.5370785593986511,270,-4,upper_full,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_W5niqA9APFfJQYLVlddPbw.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/W5niqA9APFfJQYLVlddPbw.jpg,
RujFr6Y7aOMXe5nRmJPJCg,19.47406192140673,-99.11764807468809,,,,False,953.8916666666667,84,77,0.9166666666666666,0.6162316799163818,270,-4,upper_full,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_RujFr6Y7aOMXe5nRmJPJCg.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/RujFr6Y7aOMXe5nRmJPJCg.jpg,
0vrCv5Is_ENLl2EOqa3E7A,19.47193664694577,-99.11909907478538,,,,False,930.4132653061224,98,75,0.7653061224489796,0.5175313949584961,135,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_0vrCv5Is_ENLl2EOqa3E7A.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/0vrCv5Is_ENLl2EOqa3E7A.jpg,
hhjKiW7IZ76RjF_9dqb0Jg,19.4787537091239,-99.11803363780167,,,,False,929.7089689198663,85,75,0.8823529411764706,0.49176955223083496,90,-4,upper_full,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_hhjKiW7IZ76RjF_9dqb0Jg.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/hhjKiW7IZ76RjF_9dqb0Jg.jpg,
nf0YDNgTtil-40-dxrZV1A,19.47177826686071,-99.12198680129765,,,,False,906.3814432989691,97,73,0.7525773195876289,0.5865039825439453,90,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_nf0YDNgTtil-40-dxrZV1A.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/nf0YDNgTtil-40-dxrZV1A.jpg,
yREII4wx8j2y1ofOi73srw,19.47407548598625,-99.11292969957957,,,,False,906.1477011494252,87,73,0.8390804597701149,0.6937403082847595,225,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_yREII4wx8j2y1ofOi73srw.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/yREII4wx8j2y1ofOi73srw.jpg,
rnq8a75k75THzuIBEeY51A,19.47639171273035,-99.11340810078151,,,,False,894.2647058823529,102,72,0.7058823529411765,0.5756966471672058,135,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_rnq8a75k75THzuIBEeY51A.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/rnq8a75k75THzuIBEeY51A.jpg,
s0VzyFDwSUgdIFby3T1TVQ,19.47666000777038,-99.11428868052786,,,,False,856.3794964169526,77,69,0.8961038961038961,0.48630788922309875,135,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_s0VzyFDwSUgdIFby3T1TVQ.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/s0VzyFDwSUgdIFby3T1TVQ.jpg,
uRHMkAcxCrejUP_29JhBjw,19.47750167010151,-99.12213218661742,,,,False,855.6853744489082,94,69,0.7340425531914894,0.4116756021976471,315,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_uRHMkAcxCrejUP_29JhBjw.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/uRHMkAcxCrejUP_29JhBjw.jpg,
AUblrPmd5m_GkGwv3lQrFw,19.47769463238564,-99.11388160851824,,,,False,849.3955136212809,87,69,0.7931034482758621,0.2120918333530426,45,-4,full,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_AUblrPmd5m_GkGwv3lQrFw.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/AUblrPmd5m_GkGwv3lQrFw.jpg,
